0,1,2,3,4,5,6,7,8,9
0.79737,0.71201056,-0.46699226,-0.34903988,-0.63162416,-0.17903073,0.02591409,-0.13977732,-0.68484265,-1.128673
0.7271413,0.6916781,-1.0637993,-1.1469855,-2.3460863,-0.30687943,-1.1946452,-0.41082516,-0.90738654,-0.9450999
0.6674708,0.6776772,-0.731691,-1.4075788,-1.5574962,-0.15563108,-1.0158833,-0.22562855,-0.5183268,-0.5511914
0.61907667,0.66406655,-0.74377173,-1.4028847,-1.1447351,-0.16024208,-0.8336383,-0.053312983,-0.409615,-0.32919097
0.5999969,0.66513205,-0.2923576,-1.1052516,-0.46996313,-0.020233655,-0.34769303,0.08506607,-0.065919854,0.14180821
0.5699146,0.65844905,-0.6770711,-0.95860434,-0.7117489,-0.22733605,-0.53430986,-0.042670097,-0.39347586,-0.033401575
0.52868265,0.6460441,-0.8163475,-0.8497761,-0.7461875,-0.2872685,-0.71945095,-0.15839782,-0.6744245,-0.083471626
0.5328114,0.65652806,-0.26426223,-0.28660026,0.50941724,0.13320622,0.0411374,0.08496741,-0.22896156,0.8315543
0.4874884,0.65464914,-0.48970115,-0.25613013,-0.42561993,-0.017363992,-0.7854263,-0.10372014,-0.36903876,0.1662918
0.4599388,0.64484704,-0.56815076,-0.28063858,-0.547403,-0.062067803,-0.50376564,-0.2431836,-0.64217067,0.062439688
0.47641277,0.6545348,-0.41778058,-0.027173515,0.13482077,0.006388243,0.2553859,-0.09893646,-0.5978465,0.5832491
0.56214005,0.6625329,-0.19380857,0.33850944,0.6570886,0.2123966,1.5429361,0.028839733,-0.21891874,1.0072892
0.63038373,0.6668577,-0.383816,0.548224,0.6265093,-0.20550682,1.1959102,0.16971308,-0.51964843,1.16175
0.69965774,0.67745566,-0.03204825,0.7691138,0.8641288,-0.30604696,1.1993238,0.2818655,0.058959655,1.7546093
0.7470751,0.6918554,0.22812225,0.85011494,0.75261575,-0.16700183,0.7920547,0.16713504,0.21781582,1.6486098
0.7555971,0.6806253,0.28620428,0.31907532,-0.48805746,0.046125084,0.115303904,-0.073531695,0.24739183,0.07127331
0.78511125,0.674455,0.29842207,0.16950639,0.030097652,0.028435837,0.484277,0.0631458,0.19441381,0.6503716
0.7630827,0.66516745,0.053626165,-0.06705108,-0.24737719,-0.003002528,-0.40897447,-0.06839634,-0.27734658,-0.68510747
0.7777346,0.6492981,-0.098801315,-0.14533521,-0.010780141,-0.14399399,0.21550679,0.017017838,-0.6354603,-0.40289533
0.81412226,0.65374076,0.19946878,-0.006198731,0.46129364,0.022323517,0.59518474,0.1289345,-0.23874786,0.3061453
0.8267185,0.66862047,0.22297785,0.05984002,0.38325924,0.0570208,0.17148244,0.022811452,0.14777835,0.15247351
0.8066869,0.7023861,-0.47347897,-0.07239247,-0.107490145,-0.49649253,-0.38410002,-0.07652262,-0.4552351,-0.48503414
0.8038169,0.7359602,0.21354146,0.031467818,0.41230986,-0.22462353,-0.09906177,0.029557016,0.10274792,0.25644714
0.81016463,0.7747956,0.53059673,0.30998167,1.0449954,-0.10414431,0.050995126,0.16166747,0.6451858,0.9238638
0.8177517,0.8030258,0.272793,0.45948693,0.9096337,-0.26443607,0.06749208,0.0653666,0.5944067,0.9166156
0.87747025,0.8378067,0.07672012,0.56823826,0.95192343,-0.38032976,0.9742439,0.21496965,0.6266055,0.9622183
0.930914,0.8801925,0.24970457,0.7310869,1.2332249,-0.3849287,0.8444874,0.3874527,0.67155313,1.4273015
1.028941,0.9186595,0.51104146,1.1502149,1.7673329,-0.20337003,1.6111591,0.6248343,0.85332763,1.8840317
1.1177374,0.97138286,0.48441553,1.3057933,1.3879358,-0.13198173,1.4365482,0.45647153,1.3567102,1.5926441
1.1681768,1.0158492,1.0150716,1.081847,0.75588137,-0.34603584,0.77563214,0.24677026,1.4131023,0.854802
1.2253773,1.0515114,0.8847492,0.9253833,0.78586894,-0.45533156,0.887807,0.36331406,1.392512,1.0021738
1.3007369,1.079676,1.2059529,0.79801524,0.7719301,-0.47797546,1.2075186,0.46362418,1.8444092,1.1006289
1.3679594,1.1127969,1.2264178,0.76084703,0.8711201,-0.41558915,1.0643544,0.5999756,2.1583161,1.3076917
1.405246,1.1356395,0.8211164,0.57220984,0.5952467,-0.509237,0.57331926,0.48362377,2.1374388,1.0499207
